rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV	rh_temporalpole_volume
sub-1_ses-25_T1w	1964.0	5606.0	3614.0	1813.0	8197.0	13636.0	11983.0	2568.0	10949.0	8503.0	6332.0	4173.0	13607.0	2211.0	3870.0	3764.0	1930.0	4190.0	2151.0	11090.0	3545.0	13071.0	10924.0	2037.0	12438.0	27176.0	11292.0	15704.0	9149.0	768.0	6715.0	1120511.0	1518140.51578	0.0
sub-1_ses-26_T1w	1944.0	5618.0	3555.0	1990.0	8171.0	13019.0	12310.0	2515.0	10827.0	8477.0	6457.0	4264.0	13569.0	2057.0	3889.0	3582.0	1877.0	3839.0	2291.0	11127.0	3460.0	12938.0	10726.0	2102.0	12228.0	26770.0	11018.0	15665.0	9014.0	703.0	6786.0	1103676.0	1515796.923164	6.0
sub-1_ses-27_T1w	2021.0	5710.0	3684.0	1939.0	8453.0	13645.0	12164.0	2488.0	11002.0	8514.0	6442.0	4219.0	13715.0	2104.0	4048.0	3754.0	1997.0	3993.0	2194.0	11533.0	3536.0	13392.0	10949.0	2133.0	12336.0	27116.0	11514.0	15897.0	9457.0	704.0	6762.0	1121957.0	1523979.663151	0.0
sub-1_ses-28_T1w	1967.0	5506.0	3479.0	1867.0	8194.0	13801.0	12105.0	2544.0	10783.0	8255.0	6365.0	4509.0	13345.0	2130.0	3861.0	3868.0	1898.0	4031.0	2121.0	11086.0	3513.0	12857.0	10719.0	2084.0	12506.0	27576.0	11054.0	15346.0	9295.0	736.0	6701.0	1116823.0	1515117.576387	0.0
sub-1_ses-29_T1w	1899.0	5821.0	3659.0	2160.0	8088.0	13534.0	12005.0	2522.0	10648.0	8526.0	6219.0	4398.0	13488.0	2113.0	3707.0	3714.0	1878.0	3914.0	2169.0	11033.0	3515.0	12851.0	10763.0	2108.0	12451.0	26781.0	11140.0	15611.0	9048.0	713.0	6685.0	1112475.0	1516067.341611	0.0
sub-1_ses-30_T1w	1913.0	5375.0	3619.0	1748.0	8029.0	13431.0	12142.0	2364.0	10814.0	8110.0	6289.0	4276.0	12851.0	2036.0	3762.0	3515.0	1869.0	3990.0	2150.0	11012.0	3259.0	12968.0	10734.0	2155.0	12197.0	26671.0	11151.0	15699.0	9056.0	759.0	6755.0	1118572.0	1524703.256333	0.0
sub-1_ses-31_T1w	1965.0	5703.0	3678.0	2112.0	7951.0	13381.0	11765.0	2542.0	10748.0	8436.0	6517.0	4494.0	13296.0	2141.0	3815.0	3733.0	1945.0	3957.0	2246.0	11271.0	3445.0	13028.0	11009.0	2128.0	12493.0	27171.0	11209.0	15612.0	9019.0	727.0	6798.0	1109511.0	1526756.198849	1.0
sub-1_ses-32_T1w	2038.0	5595.0	3477.0	1905.0	8175.0	13964.0	12163.0	2665.0	10914.0	8661.0	6422.0	4308.0	13755.0	2213.0	3909.0	3786.0	1952.0	4080.0	2160.0	11392.0	3524.0	13075.0	11031.0	2163.0	12577.0	27234.0	11318.0	16073.0	9350.0	723.0	6754.0	1125886.0	1517587.725836	0.0
sub-1_ses-33_T1w	1962.0	5772.0	3783.0	1857.0	8107.0	13417.0	12101.0	2485.0	10961.0	8394.0	6492.0	4402.0	13453.0	2040.0	3851.0	3762.0	1961.0	3955.0	2300.0	11055.0	3515.0	13114.0	10910.0	2133.0	12394.0	27701.0	11083.0	15779.0	9233.0	723.0	6718.0	1119589.0	1533417.255795	0.0
sub-1_ses-34_T1w	2026.0	5938.0	3628.0	1712.0	8102.0	13931.0	12525.0	2579.0	10630.0	8445.0	6406.0	4721.0	13501.0	2105.0	3871.0	3771.0	1930.0	3916.0	2116.0	11189.0	3508.0	13371.0	11034.0	2092.0	12746.0	27907.0	11595.0	15266.0	9162.0	727.0	6700.0	1132027.0	1503403.154632	0.0
sub-1_ses-35_T1w	1996.0	5837.0	3604.0	1999.0	8130.0	14462.0	12477.0	2523.0	11083.0	8786.0	6323.0	4324.0	14088.0	2152.0	4011.0	3733.0	1858.0	3927.0	2108.0	11076.0	3605.0	13245.0	10959.0	2133.0	12778.0	27798.0	11546.0	15745.0	9127.0	668.0	6594.0	1147765.0	1502353.297981	0.0
sub-1_ses-36_T1w	2041.0	5902.0	3739.0	1765.0	8048.0	13647.0	12585.0	2503.0	10901.0	8221.0	6446.0	4360.0	13479.0	2019.0	3892.0	3686.0	1862.0	3742.0	2209.0	11034.0	3581.0	13033.0	10886.0	2205.0	12641.0	27757.0	11242.0	15327.0	9274.0	703.0	6572.0	1138930.0	1504065.528451	0.0
sub-1_ses-37_T1w	2021.0	6219.0	3711.0	1752.0	8272.0	14068.0	12721.0	2490.0	10890.0	8331.0	6383.0	4630.0	13768.0	2005.0	3875.0	3671.0	1862.0	3851.0	2032.0	11227.0	3562.0	13386.0	10968.0	2049.0	12614.0	28156.0	11823.0	15632.0	9339.0	750.0	6780.0	1134308.0	1499907.811028	1.0
sub-1_ses-38_T1w	2005.0	5811.0	3808.0	1596.0	8562.0	13576.0	12656.0	2438.0	10640.0	8267.0	6337.0	4379.0	13711.0	1996.0	3833.0	3699.0	1889.0	3930.0	2066.0	11165.0	3583.0	12902.0	10741.0	2171.0	12762.0	27887.0	11411.0	15654.0	9183.0	709.0	6767.0	1134785.0	1500552.226923	0.0
