rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-11_T1w	2666.0	2339.0	5818.0	3956.0	2005.0	11326.0	16944.0	12852.0	2323.0	12530.0	9264.0	8263.0	7025.0	12526.0	1800.0	4151.0	4472.0	3357.0	4394.0	2476.0	9648.0	2648.0	13333.0	11528.0	2548.0	18435.0	25017.0	15634.0	12124.0	10994.0	1470.0	2472.0	994.0	7042.0	1305764.0	1661932.733146
sub-2_ses-12_T1w	2686.0	2504.0	5760.0	4296.0	2189.0	11377.0	16651.0	13059.0	2472.0	12593.0	9037.0	8027.0	7291.0	12450.0	1857.0	4086.0	4438.0	3639.0	4469.0	1998.0	9207.0	2943.0	12634.0	11032.0	2559.0	18952.0	24021.0	15114.0	12127.0	10892.0	1623.0	2628.0	981.0	7133.0	1304926.0	1693626.741318
sub-2_ses-13_T1w	2798.0	2493.0	5215.0	4065.0	2173.0	11593.0	16899.0	12887.0	2309.0	12514.0	8826.0	7989.0	7114.0	12516.0	1920.0	4280.0	4488.0	3289.0	4343.0	2467.0	9643.0	3134.0	13587.0	11489.0	2508.0	19017.0	24440.0	15405.0	12250.0	11129.0	1650.0	2580.0	962.0	7576.0	1305001.0	1639480.031811
sub-2_ses-14_T1w	2696.0	2440.0	5380.0	4118.0	2006.0	11613.0	16441.0	13033.0	2384.0	12525.0	9812.0	8133.0	6924.0	12570.0	1978.0	4290.0	4495.0	3484.0	4407.0	2320.0	9608.0	3048.0	13208.0	11428.0	2549.0	18801.0	24213.0	15327.0	12222.0	11162.0	1417.0	2412.0	992.0	6967.0	1304361.0	1625419.966756
sub-2_ses-15_T1w	2861.0	2125.0	5608.0	4057.0	2380.0	11184.0	16329.0	12930.0	2297.0	12206.0	8809.0	7952.0	6740.0	12403.0	1797.0	4185.0	4501.0	3487.0	4383.0	2478.0	9318.0	2552.0	13024.0	11391.0	2505.0	18205.0	24271.0	15061.0	12164.0	11096.0	1588.0	2654.0	993.0	7402.0	1296933.0	1640429.623848
sub-2_ses-16_T1w	2841.0	2444.0	5510.0	4052.0	2067.0	11160.0	17127.0	12986.0	2286.0	12714.0	8636.0	7997.0	7066.0	12452.0	1806.0	4236.0	4381.0	3451.0	4437.0	2305.0	9523.0	3110.0	13224.0	11583.0	2584.0	18492.0	24637.0	15450.0	12083.0	10834.0	1634.0	2736.0	989.0	7669.0	1300914.0	1622170.608952
sub-2_ses-17_T1w	2792.0	2519.0	5642.0	3750.0	2358.0	11328.0	16559.0	12837.0	2301.0	11980.0	9066.0	7835.0	7100.0	12158.0	1933.0	4078.0	4327.0	3452.0	4462.0	2370.0	9452.0	3102.0	13004.0	11146.0	2512.0	18902.0	24178.0	15043.0	12004.0	10854.0	1603.0	2384.0	990.0	7068.0	1297984.0	1659628.37542
sub-2_ses-18_T1w	2708.0	2507.0	5568.0	3520.0	1771.0	11505.0	16928.0	13165.0	2417.0	12100.0	9297.0	8094.0	6886.0	12455.0	1923.0	4210.0	4371.0	3463.0	4494.0	2314.0	9548.0	3077.0	13192.0	11718.0	2603.0	18484.0	24980.0	15721.0	12142.0	10892.0	1498.0	2194.0	956.0	6956.0	1306144.0	1645580.299923
sub-2_ses-19_T1w	2695.0	2083.0	5302.0	4159.0	2145.0	11381.0	16325.0	13263.0	2272.0	12075.0	8711.0	8046.0	6811.0	12222.0	1905.0	4245.0	4423.0	3333.0	4390.0	2383.0	9306.0	2535.0	12993.0	11264.0	2605.0	18738.0	23767.0	15188.0	12044.0	10992.0	1613.0	2523.0	947.0	7754.0	1300103.0	1626632.099584
sub-2_ses-20_T1w	2886.0	2351.0	5678.0	3460.0	2298.0	11344.0	17782.0	13100.0	2376.0	12153.0	9248.0	8166.0	7059.0	12887.0	2099.0	4293.0	4603.0	3388.0	4228.0	2263.0	9776.0	2619.0	13430.0	11682.0	2443.0	18883.0	25279.0	16004.0	12231.0	11008.0	1614.0	2509.0	1024.0	7004.0	1309587.0	1623514.177817
sub-2_ses-21_T1w	2776.0	2169.0	5639.0	3883.0	2218.0	11315.0	16846.0	13009.0	2318.0	12553.0	9551.0	7774.0	6947.0	12644.0	1875.0	4115.0	4426.0	3465.0	4342.0	2096.0	9473.0	2616.0	12995.0	11213.0	2515.0	18560.0	24767.0	14931.0	12215.0	10737.0	1745.0	2909.0	988.0	7096.0	1308746.0	1649143.032261
sub-2_ses-22_T1w	2755.0	2483.0	5690.0	3841.0	2035.0	11448.0	17091.0	12931.0	2292.0	12825.0	8768.0	8027.0	6965.0	12655.0	1911.0	4094.0	4334.0	3393.0	4442.0	2251.0	9454.0	3062.0	12659.0	11572.0	2611.0	17987.0	24183.0	15535.0	12428.0	10812.0	1624.0	2598.0	997.0	7672.0	1310753.0	1633420.416629
sub-2_ses-23_T1w	2667.0	2227.0	5534.0	4003.0	2160.0	11415.0	16255.0	13199.0	2345.0	12425.0	8591.0	8184.0	6896.0	12393.0	1883.0	4294.0	4436.0	3385.0	4349.0	2426.0	9516.0	2555.0	13198.0	11270.0	2502.0	18666.0	24872.0	15230.0	11895.0	11059.0	1641.0	2430.0	962.0	7770.0	1311205.0	1634763.232587
sub-2_ses-24_T1w	2729.0	2449.0	5479.0	4030.0	2061.0	12048.0	16831.0	13386.0	2270.0	12397.0	8781.0	8166.0	7100.0	12495.0	1927.0	4226.0	4412.0	3396.0	4409.0	2453.0	9415.0	3189.0	13370.0	11697.0	2694.0	18581.0	24318.0	15605.0	12267.0	11151.0	1680.0	2215.0	951.0	7918.0	1306841.0	1643422.174738
sub-2_ses-25_T1w	2646.0	2222.0	5687.0	4147.0	2560.0	11166.0	16737.0	13136.0	2299.0	12614.0	8911.0	7871.0	6999.0	12404.0	1953.0	4021.0	4428.0	3424.0	4421.0	2215.0	9277.0	2537.0	12794.0	10904.0	2567.0	18190.0	24217.0	15067.0	11908.0	10656.0	1778.0	2387.0	987.0	7397.0	1298328.0	1653651.081123
sub-2_ses-26_T1w	2779.0	2548.0	5470.0	4065.0	2316.0	11188.0	16564.0	13278.0	2346.0	13160.0	9270.0	8304.0	7177.0	12813.0	1905.0	4317.0	4409.0	3466.0	4372.0	2424.0	9737.0	3158.0	13393.0	11577.0	2526.0	18806.0	24694.0	15832.0	12152.0	10990.0	1728.0	2705.0	1017.0	7034.0	1307272.0	1635443.488623
sub-2_ses-27_T1w	2719.0	2190.0	5269.0	3732.0	2234.0	11676.0	16682.0	12970.0	2305.0	12224.0	9320.0	7738.0	6994.0	12319.0	1929.0	4048.0	4372.0	3307.0	4281.0	2394.0	9459.0	2527.0	12942.0	11314.0	2566.0	18144.0	23706.0	15516.0	11950.0	11142.0	1570.0	2401.0	943.0	7035.0	1299537.0	1670780.348511
