bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-1_ses-1_T1w	0.5124404104475296	1.9557031799123594	0.5663900304871882	641.0166192630415	4.28275	4.32164	4.40124	4.12537	0.26481113597787775	0.38825877266569675	0.3469300913564255	0.3710423409938812	0.07565491944551467	0.0	0.0005549501701027761	8.2781696802624	8.209718833955968	8.312134994533926	188	256	256	2.198722996666193	6.0099316773134	6.9322402891880905	12.588066193584678	23.658813263738505	37.751886342477256	37.99667787441845	52.57933401703959	1.0	1.0	1.0	10.889882169601602	12.067293103888911	12.233752707441695	8.13926551118493	3602455.0	0.0	40.551500767469406	13.985567862230694	-0.33973484343833205	142.74620027518412	441.859971194955	435.78380646184087	388851.3203467382	110.56077030673623	750.0289720520377	198.1983391153128	-0.5359505597232253	83.13978451647307	698.9820136821265	695.3713420890272	570123.0646126327	510.02201822400093	911.423945106566	115.70360023733488	-0.27052731935609664	56.81504902649476	951.006964478178	968.4856997579336	509435.61566546216	794.6356228962541	1048.169398766011	76.93673788459634	0.2128069658043402	0.5185036765701371	0.5376062542450879	0.5966771954244517
sub-1_ses-20_T1w	0.5065879325167253	1.9753581338045676	0.5585936433013163	630.023983364499	4.253796666666666	4.28579	4.40969	4.06591	0.2655093451030852	0.3879884598748922	0.34650219502202256	0.39284366369247437	0.09331147670745848	0.0	0.00019445620130674314	8.303706197555716	8.236754009001547	8.341935548698874	188	256	256	2.246441321606941	5.990949501982007	6.9261044888095356	12.540922642839659	18.957285370071382	29.667804777555812	30.043747691115072	41.50615292571802	1.0	1.0	1.0	12.151581413873494	15.297854465198812	14.50513259355664	10.31824603676796	3978401.0	0.0	45.022346805781126	15.47344814588001	-0.2544948025086682	143.19503307540748	447.64695139003607	442.66475293785334	388545.57927118486	123.57899323105812	752.3321136459708	197.05130022161515	-0.526524841563647	82.93749586510403	696.9248603839213	692.7622397243977	567781.1484717987	508.95348474383354	908.6355441622436	115.63469687634112	-0.24011399258439337	57.10013120149789	951.5871388546152	969.195249825716	507070.2729175027	795.134837757796	1049.4316107220948	77.28253508502588	0.21243734048256202	0.5160995730875638	0.5372736274860083	0.6038497477107083
sub-1_ses-21_T1w	0.5190772929605584	1.8692159627429983	0.5735516736053144	596.5398127160142	4.262440000000001	4.2955	4.38598	4.10584	0.26564051853055115	0.38635010132986275	0.34800938013958616	0.38594068586826324	0.08211594521999355	0.0	0.0003955701842611751	8.281558965375988	8.207357007132355	8.311578953927722	188	256	256	2.1854302864696287	5.755503911682158	6.715934945224141	12.206870637520634	24.1711424030135	38.662434351364546	38.85848455409405	53.741876907904086	1.0	1.0	1.0	2.061411155236976	11.784607680113824	11.673115022247604	7.948597090318799	3441226.0	0.0	39.410639928653836	13.622066401901598	-0.27817892937660194	141.8259056693838	441.017129240464	434.7910303864628	389813.6477768918	108.81546330265701	750.3807998783886	198.94959605304723	-0.5011922440682248	83.76515563565226	699.3375180814447	695.4607022125274	566948.6837003167	501.0939622130245	926.994749860838	120.83391820203674	-0.18673493525403284	57.034216263686766	948.8822439622218	966.710039852187	510685.6690508419	787.3542393054813	1049.2148159220815	79.1938509119509	0.21213269382968464	0.5182277121106136	0.5352895216008867	0.618422451366004
sub-1_ses-22_T1w	0.496010102985102	1.969486140252402	0.5508880797563344	515.424860307813	4.143746666666666	4.15133	4.2952	3.98471	0.26854394056051845	0.386860385276313	0.3445956741631685	0.3830450773239136	0.0819665789604187	0.0	0.0007602686048361081	8.295191231657677	8.227198718629088	8.333031480783077	188	256	256	2.129965942025547	5.615975253682306	6.611776472509398	12.089388221820338	16.577988149800966	27.125241813697226	27.436112223248788	38.60510670624818	1.0	1.0	1.0	0.5586275754702901	16.48136054067326	16.103447993471097	11.116508753970265	4421865.0	0.0	49.867115104570985	16.865927687561257	-0.4325590395510104	147.8661909690223	426.7400192787961	417.05482970550656	393437.0139189418	117.25201906822622	734.8040863517672	195.80327152734927	-0.5002846909678769	85.66917998262554	686.5272250537686	682.3936054911464	566779.4792500385	488.55484230816364	910.3249006625265	121.50926111209037	-0.2128158122515984	57.578840552120724	951.9948164067608	971.1942159477621	504858.50758411875	787.8146872222424	1052.4676115680486	80.33435904940482	0.2104399768645024	0.5167012504985755	0.5369759270135774	0.6147057308164109
sub-1_ses-23_T1w	0.48818455143017764	2.005223520236632	0.55192282577619	520.7338606190111	4.098878836058016	4.086106508174049	4.26349	3.94704	0.26630576347255697	0.38813912929943195	0.3455551072280111	0.3805452585220337	0.07466033101081843	0.0	0.0006717026393334328	8.267023601376138	8.20185392860317	8.309271747082972	188	256	256	2.165070324055189	5.700282207970887	6.7321285009895115	12.33103297094246	15.088288610427574	24.103701739807786	24.50842620133616	34.33328825377312	1.0001109838485718	1.0	1.0	0.5206259934619273	18.56417158463638	17.264950027158292	12.52134345471859	4530497.0	0.0	52.58964250981808	17.750741983466476	-0.23411137894820344	149.61034645254682	435.22909886248283	427.5469637811184	391357.0914676393	121.94081068970263	742.4302940685302	197.47460985174382	-0.4964136178095271	85.18423279404739	687.7631211193461	683.0108278561383	570400.7256420539	493.9954568874091	908.081976454705	119.8204236606753	0.0736723069891867	56.32538423974901	954.5306859653114	972.8799288328737	507820.18362317106	793.91009022668	1053.7564245108515	78.89679422858549	0.2120530230517504	0.5141973445064264	0.5324471896319053	0.6025202678886147
sub-1_ses-24_T1w	0.5072335118973871	1.9822402669330088	0.5673685331608188	652.0015143583269	4.2269033333333335	4.24561	4.36973	4.06537	0.2661295280932279	0.3878921421120202	0.3459783297947519	0.3872148096561432	0.08469984382390972	0.0	0.0003521960772039991	8.287922746013626	8.221294198506689	8.324693725240817	188	256	256	2.167656227903739	5.923225275954624	6.896761138298731	12.59940191103783	22.021207228578536	35.25195008712835	35.57752284157386	49.45941120901469	1.0	1.0	1.0	2.763309705476634	12.829373433249698	12.833548708261038	8.653280882164836	3810804.0	0.0	42.146238600835204	14.409404934258157	-0.23604476512915706	146.2299457343218	437.9868265674466	431.23583270050585	390290.1305699176	111.45649809390306	747.2066035531461	198.9408074460759	-0.47821526289195004	83.90991491455547	694.5351614502929	690.3301845509559	568860.1181410872	505.41881346702576	908.3144511748105	116.54623041046356	-0.24118258349278987	57.21319285119121	950.9756259776254	968.5513676069677	507391.75196918653	795.1497002206743	1047.7470903731883	76.87272935682842	0.21066312597847361	0.5143639725801874	0.5357878262416795	0.6225542255422554
sub-1_ses-25_T1w	0.5122586678346963	1.9517911032351978	0.5698993420412574	622.1853516762316	4.296696666666667	4.32764	4.42782	4.13463	0.2675120681413937	0.3871074033835825	0.34538052847502376	0.38236673176288605	0.08387280553579324	0.0	0.0007212461962785931	8.224860921353411	8.156040842689103	8.25687206122455	188	256	256	2.1649576933986374	5.987260286849887	6.898668075678629	12.543786246787365	24.287426163913228	39.359822241465224	39.49959051952227	54.85152315318836	1.0	1.0	1.0	1.0098845360033035	11.562390088001296	12.554260442103596	7.798713602125645	3792755.0	0.0	42.209825810045004	14.347200128390567	-0.21478264667447444	144.6142731079578	436.32070265772586	428.6446235328913	395429.38401684025	107.21808080002666	745.8017975054681	197.99189741241267	-0.5271121549361286	82.87786179866622	698.3919640037168	694.6547597572207	572212.0991843304	508.9087562263012	912.2787166982889	116.0220400459344	-0.26266778092807286	57.17897288044436	950.4171847413731	968.065135166049	510532.51756142575	793.3341030366719	1047.3046193569899	77.1747993808494	0.2063524697706463	0.5152548928596066	0.536850453435967	0.6198425426447004
sub-1_ses-26_T1w	0.507682481164465	1.9182943817812101	0.5742527447779759	499.2047906772923	4.17861	4.15706	4.37048	4.00829	0.268191722492453	0.3861266743048478	0.3456816032026991	0.3867175877094269	0.08161294460296631	0.0	0.0008028798321348189	8.319955884560091	8.249020356970604	8.358243866881782	188	256	256	2.1535769969779914	5.412142873454192	6.512694931891969	11.972364925243722	21.69791777353829	35.29170523752477	35.74586254616014	50.24796462741736	1.0	1.0	1.0	0.8519223462002485	12.630432178676363	13.739376964554037	8.519097045063972	3904009.0	0.0	45.54877220094204	15.563355890460308	-0.2939953724849591	144.95525997060906	427.5426224538315	418.31606190279126	391604.9712624915	121.3687359020114	734.3745622746646	194.2421972303823	-0.5067572643886287	87.8657065229919	683.5836949800323	680.3918839991093	563809.8140746548	476.8990525826812	915.8597263246775	125.71569090466998	-0.07071903609026542	58.52100242786715	948.5889628556844	968.7349219843745	504753.2154612801	783.8137221261859	1048.2748913951218	80.91416929072147	0.21255837553966492	0.5163058215758994	0.5354701474816387	0.6010576758041797
sub-1_ses-27_T1w	0.5113911945001227	1.9508081403854263	0.5825771820850315	511.67720385368455	4.1866309709832725	4.186522912949816	4.32683	4.04654	0.26676191363549157	0.38706310150876977	0.34617498485573867	0.37934282422065735	0.07754434347152706	0.0	0.0007547199929827681	8.302583148843487	8.2347847654976	8.338441348611655	188	256	256	2.1639561063171393	5.853353746185598	6.887683834181552	12.645741650041922	34.31808276226366	55.32638952472088	55.686113200391326	77.41386731418943	0.9997317790985107	1.0	1.0	1.162352012753514	8.198228573950171	12.147831170666537	5.52962114289403	3507779.0	0.0	42.54195964708924	14.675673612821566	-0.36188725538611655	146.7029746323445	437.18980606625723	429.4487174041569	390538.6414635214	113.5656362362206	746.9990210272372	198.45511946116926	-0.488613008961992	84.78369047833895	696.1314152685013	692.3419115394354	566659.2196907243	503.86241298541427	914.971683382988	118.28113089737442	-0.22114824178472947	56.56365744740494	951.6344556438686	968.7396075613797	506799.13954638905	795.9042130447924	1049.1553039811552	76.60591831041805	0.21003417253125625	0.5141721352176617	0.5356142939393339	0.6144126044200063
sub-1_ses-28_T1w	0.5026015727055918	1.9652061822444962	0.5677326508690489	607.7952192786726	4.221360000000001	4.23853	4.35717	4.06838	0.2677381083563196	0.38739871977659757	0.3448631718670827	0.37609298527240753	0.07656543701887131	0.0	0.0005688381549660271	8.21782216828589	8.14895873601029	8.252416611127666	188	256	256	2.1438136994481436	5.765895535451346	6.728306559166441	12.275210442599832	20.78627573480122	34.06328021066313	34.305426505586105	48.066723571293984	1.0	1.0	1.0	2.239570432950246	13.223994468835455	13.573409270068044	8.919448725879192	3957384.0	0.0	43.63073989748955	14.84993070105737	-0.3215408733187388	144.2357043768028	429.34241698034026	419.5730772167444	396005.0105257018	112.72194953262806	738.35362239182	195.71315714939783	-0.5017685121477333	85.15761144017878	690.9245003233077	687.5707548782229	572992.1490989493	495.54027054458857	908.8448807001114	119.2477648385695	-0.19995162498330998	56.90821149127332	950.0888309424805	970.2316748723388	510078.8410120531	788.1976005658507	1046.8616136163473	79.03984443674291	0.20945881141597883	0.5183890996320364	0.5377774347186937	0.6244599569962256
sub-1_ses-29_T1w	0.5124745564272684	1.9113036666989869	0.5679869954192541	616.007547549737	4.236013333333333	4.26709	4.36691	4.07404	0.2688038130036652	0.3855618422466801	0.3456343447496547	0.366035059094429	0.0740385502576828	0.0	0.0005504743986549297	8.284248905945788	8.213285846228144	8.315471880711508	188	256	256	2.160821988059451	5.795560377689633	6.810009621406831	12.473646498471407	23.10589854737028	37.78554947096335	37.86478362583431	52.7029028591693	1.0	1.0	1.0	1.2952864888076903	12.024348668928933	12.204879870444472	8.110299929976463	3709382.0	0.0	40.243867583572865	13.68909858384804	-0.25699733159325966	144.66535346859672	433.51654698178	424.084786683321	394481.9607416901	112.92893488705158	742.0924435928464	196.26061355599842	-0.4819148448735393	83.25824871451482	697.1959453520151	693.5145436674356	565829.7396048274	501.1326360180974	920.4351423978806	119.66296365528093	-0.15991050546629193	57.05346127050418	949.6282559297965	967.307082682848	507234.30033581395	791.7330724745989	1047.3193864747882	77.54798320521638	0.20706995173894122	0.5138795482841072	0.5356138494196153	0.6159709360307736
sub-1_ses-2_T1w	0.49566466406218945	2.028228099752903	0.5568571653944848	654.6688742900889	4.2347399999999995	4.2513	4.38497	4.06795	0.2655628528169247	0.3894231296059768	0.34501401757709843	0.36284926533699036	0.07755843102931975	0.0	0.0003915636753760245	8.324700690186404	8.260841945329972	8.364383520784875	188	256	256	2.1795568959971594	6.034352471832978	7.00175190183401	12.791346337671895	24.943294023930186	39.766153177495255	40.20583754245084	55.90806542592707	1.0	1.0	1.0	1.683452696866505	11.392860546693871	13.155001716390467	7.684367664158344	3774881.0	0.0	45.9628409165889	15.637688892200089	-0.35488836965341664	145.0464186019384	439.7998746297296	433.7653508335352	387764.25534329785	112.2261755131185	748.8244250640273	199.01512656723875	-0.5440530190882291	83.83104850029969	694.9160095403429	691.5357437469065	568620.0771808188	508.17182131297886	901.3361847866327	114.59972530477022	-0.2558380887962608	55.306386459883306	953.5500034674392	972.244547598064	503775.6681316115	798.2853736486286	1047.3391704056412	76.00791636580087	0.2125651071525169	0.5157959861382964	0.5372654860244724	0.6126217275831541
sub-1_ses-30_T1w	0.5374961034325865	1.8581026911552405	0.5990119491218586	500.3282079827825	4.412463333333333	4.4792	4.5127	4.24549	0.2657368810287912	0.3857818719129028	0.348481247058306	0.35016122460365295	0.07601409554481509	0.0	0.0008932320814692567	8.236838856507141	8.162584959327873	8.2607456260351	188	256	256	2.250081048589632	6.233778469179301	7.155998591136047	12.984136255639209	24.70825498378985	39.33900835450139	39.14690612896472	53.39345504860294	1.0	1.0	1.0	1.5365677348171962	11.886976747423942	11.624858783931893	8.017643976956606	3326372.0	0.0	37.259989485144615	12.545227849341902	-0.20270543214820957	140.52791604640666	454.42274477994715	448.31343894451857	392312.1408945818	114.08925749734044	765.7758145369589	199.24298631454468	-0.5492624179744716	81.90088509794683	717.1748400074813	713.7778904922307	569536.7218224879	529.8131791763008	930.5396956168115	114.5015446716163	-0.2050770448474215	55.16480471134606	952.3768805800763	968.7856736816466	514469.1379148291	802.0498154424131	1048.0020719394088	74.61295176421743	0.2060428276852309	0.5176310241988635	0.5384779040100608	0.649999116929432
sub-1_ses-31_T1w	0.5074617589354488	1.925599074267379	0.5614474759841668	694.4604269593	4.24947	4.28822	4.36347	4.09672	0.2667635932081806	0.3870447514834688	0.34619165530835067	0.37241330742836	0.0798603892326355	0.0	0.0005688551001110326	8.215976623694013	8.144835376735244	8.245910255622597	188	256	256	2.1601882194796236	5.916519720474082	6.81865421258694	12.379254697807115	23.32040229748808	37.98357158891941	38.072253947512	52.91278795612853	1.0	1.0	1.0	1.8214878423948866	12.00908194875366	12.854064361375938	8.100002683699131	3906175.0	0.0	42.377868711948395	14.484801875570776	-0.3344226982669034	143.27790504949004	436.00421371100356	427.4783423244953	394733.0234474747	107.62633323669434	746.2372714653611	197.88914548812977	-0.43193455692199034	82.73384830438941	699.5052958643276	696.2638985067606	572714.3765203301	506.0679877400398	917.402380079031	117.68122537206418	-0.1887336889796023	56.13934156666504	950.746637119997	969.9262729138136	512263.60069872026	790.6891893073916	1048.011419892311	78.35086601610574	0.20880197226154984	0.5178593067627977	0.5386992305649124	0.624465416749373
